class_weight,criterion,file,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,random_state,results,splitter
,mse,BerkeleyC,10.0,,10,1e-07,1,2,0.0,False,,./dataTest/BerkeleyC-0010-regression.csv,best
,entropy,BerkeleyC,10.0,,10,1e-07,2,2,0.0,False,,./dataTest/BerkeleyC-0011-classification.csv,best
,mse,BerkeleyC,10.0,,10,1e-07,2,2,0.0,False,,./dataTest/BerkeleyC-0012-regression.csv,best
,entropy,BerkeleyC,10.0,,20,1e-07,1,2,0.0,False,,./dataTest/BerkeleyC-0013-classification.csv,best
,mse,BerkeleyC,10.0,,20,1e-07,1,2,0.0,False,,./dataTest/BerkeleyC-0014-regression.csv,best
,entropy,BerkeleyC,10.0,,20,1e-07,2,2,0.0,False,,./dataTest/BerkeleyC-0015-classification.csv,best
,mse,BerkeleyC,10.0,,20,1e-07,2,2,0.0,False,,./dataTest/BerkeleyC-0016-regression.csv,best
,entropy,BerkeleyC,20.0,,10,1e-07,1,2,0.0,False,,./dataTest/BerkeleyC-0017-classification.csv,best
,mse,BerkeleyC,20.0,,10,1e-07,1,2,0.0,False,,./dataTest/BerkeleyC-0018-regression.csv,best
,entropy,BerkeleyC,20.0,,10,1e-07,2,2,0.0,False,,./dataTest/BerkeleyC-0019-classification.csv,best
,mse,BerkeleyC,20.0,,10,1e-07,2,2,0.0,False,,./dataTest/BerkeleyC-0020-regression.csv,best
,entropy,BerkeleyC,20.0,,20,1e-07,1,2,0.0,False,,./dataTest/BerkeleyC-0021-classification.csv,best
,mse,BerkeleyC,20.0,,20,1e-07,1,2,0.0,False,,./dataTest/BerkeleyC-0022-regression.csv,best
,entropy,BerkeleyC,20.0,,20,1e-07,2,2,0.0,False,,./dataTest/BerkeleyC-0023-classification.csv,best
,mse,BerkeleyC,20.0,,20,1e-07,2,2,0.0,False,,./dataTest/BerkeleyC-0024-regression.csv,best
,entropy,BerkeleyJ,,,10,1e-07,1,2,0.0,False,,./dataTest/BerkeleyJ-0001-classification.csv,best
,mse,BerkeleyJ,,,10,1e-07,1,2,0.0,False,,./dataTest/BerkeleyJ-0002-regression.csv,best
,entropy,BerkeleyJ,,,10,1e-07,2,2,0.0,False,,./dataTest/BerkeleyJ-0003-classification.csv,best
,mse,BerkeleyJ,,,10,1e-07,2,2,0.0,False,,./dataTest/BerkeleyJ-0004-regression.csv,best
,entropy,BerkeleyJ,,,20,1e-07,1,2,0.0,False,,./dataTest/BerkeleyJ-0005-classification.csv,best
,mse,BerkeleyJ,,,20,1e-07,1,2,0.0,False,,./dataTest/BerkeleyJ-0006-regression.csv,best
,entropy,BerkeleyJ,,,20,1e-07,2,2,0.0,False,,./dataTest/BerkeleyJ-0007-classification.csv,best
,mse,BerkeleyJ,,,20,1e-07,2,2,0.0,False,,./dataTest/BerkeleyJ-0008-regression.csv,best
,entropy,BerkeleyJ,10.0,,10,1e-07,1,2,0.0,False,,./dataTest/BerkeleyJ-0009-classification.csv,best
,mse,BerkeleyJ,10.0,,10,1e-07,1,2,0.0,False,,./dataTest/BerkeleyJ-0010-regression.csv,best
,entropy,BerkeleyJ,10.0,,10,1e-07,2,2,0.0,False,,./dataTest/BerkeleyJ-0011-classification.csv,best
,mse,BerkeleyJ,10.0,,10,1e-07,2,2,0.0,False,,./dataTest/BerkeleyJ-0012-regression.csv,best
,entropy,BerkeleyJ,10.0,,20,1e-07,1,2,0.0,False,,./dataTest/BerkeleyJ-0013-classification.csv,best
,mse,BerkeleyJ,10.0,,20,1e-07,1,2,0.0,False,,./dataTest/BerkeleyJ-0014-regression.csv,best
,entropy,BerkeleyJ,10.0,,20,1e-07,2,2,0.0,False,,./dataTest/BerkeleyJ-0015-classification.csv,best
,mse,BerkeleyJ,10.0,,20,1e-07,2,2,0.0,False,,./dataTest/BerkeleyJ-0016-regression.csv,best
,entropy,BerkeleyJ,20.0,,10,1e-07,1,2,0.0,False,,./dataTest/BerkeleyJ-0017-classification.csv,best
,mse,BerkeleyJ,20.0,,10,1e-07,1,2,0.0,False,,./dataTest/BerkeleyJ-0018-regression.csv,best
,entropy,BerkeleyJ,20.0,,10,1e-07,2,2,0.0,False,,./dataTest/BerkeleyJ-0019-classification.csv,best
,mse,BerkeleyJ,20.0,,10,1e-07,2,2,0.0,False,,./dataTest/BerkeleyJ-0020-regression.csv,best
,entropy,BerkeleyJ,20.0,,20,1e-07,1,2,0.0,False,,./dataTest/BerkeleyJ-0021-classification.csv,best
,mse,BerkeleyJ,20.0,,20,1e-07,1,2,0.0,False,,./dataTest/BerkeleyJ-0022-regression.csv,best
,entropy,BerkeleyJ,20.0,,20,1e-07,2,2,0.0,False,,./dataTest/BerkeleyJ-0023-classification.csv,best
,mse,BerkeleyJ,20.0,,20,1e-07,2,2,0.0,False,,./dataTest/BerkeleyJ-0024-regression.csv,best
,entropy,Dune,,,10,1e-07,1,2,0.0,False,,./dataTest/Dune-0001-classification.csv,best
,mse,Dune,,,10,1e-07,1,2,0.0,False,,./dataTest/Dune-0002-regression.csv,best
,entropy,Dune,,,10,1e-07,2,2,0.0,False,,./dataTest/Dune-0003-classification.csv,best
,mse,Dune,,,10,1e-07,2,2,0.0,False,,./dataTest/Dune-0004-regression.csv,best
,entropy,Dune,,,20,1e-07,1,2,0.0,False,,./dataTest/Dune-0005-classification.csv,best
,mse,Dune,,,20,1e-07,1,2,0.0,False,,./dataTest/Dune-0006-regression.csv,best
,entropy,Dune,,,20,1e-07,2,2,0.0,False,,./dataTest/Dune-0007-classification.csv,best
,mse,Dune,,,20,1e-07,2,2,0.0,False,,./dataTest/Dune-0008-regression.csv,best
,entropy,Dune,10.0,,10,1e-07,1,2,0.0,False,,./dataTest/Dune-0009-classification.csv,best
,mse,Dune,10.0,,10,1e-07,1,2,0.0,False,,./dataTest/Dune-0010-regression.csv,best
,entropy,Dune,10.0,,10,1e-07,2,2,0.0,False,,./dataTest/Dune-0011-classification.csv,best
,mse,Dune,10.0,,10,1e-07,2,2,0.0,False,,./dataTest/Dune-0012-regression.csv,best
,entropy,Dune,10.0,,20,1e-07,1,2,0.0,False,,./dataTest/Dune-0013-classification.csv,best
,mse,Dune,10.0,,20,1e-07,1,2,0.0,False,,./dataTest/Dune-0014-regression.csv,best
,entropy,Dune,10.0,,20,1e-07,2,2,0.0,False,,./dataTest/Dune-0015-classification.csv,best
,mse,Dune,10.0,,20,1e-07,2,2,0.0,False,,./dataTest/Dune-0016-regression.csv,best
,entropy,Dune,20.0,,10,1e-07,1,2,0.0,False,,./dataTest/Dune-0017-classification.csv,best
,mse,Dune,20.0,,10,1e-07,1,2,0.0,False,,./dataTest/Dune-0018-regression.csv,best
,entropy,Dune,20.0,,10,1e-07,2,2,0.0,False,,./dataTest/Dune-0019-classification.csv,best
,mse,Dune,20.0,,10,1e-07,2,2,0.0,False,,./dataTest/Dune-0020-regression.csv,best
,entropy,Dune,20.0,,20,1e-07,1,2,0.0,False,,./dataTest/Dune-0021-classification.csv,best
,mse,Dune,20.0,,20,1e-07,1,2,0.0,False,,./dataTest/Dune-0022-regression.csv,best
,entropy,Dune,20.0,,20,1e-07,2,2,0.0,False,,./dataTest/Dune-0023-classification.csv,best
,mse,Dune,20.0,,20,1e-07,2,2,0.0,False,,./dataTest/Dune-0024-regression.csv,best
,entropy,HIPAcc,,,10,1e-07,1,2,0.0,False,,./dataTest/HIPAcc-0001-classification.csv,best
,mse,HIPAcc,,,10,1e-07,1,2,0.0,False,,./dataTest/HIPAcc-0002-regression.csv,best
,entropy,HIPAcc,,,10,1e-07,2,2,0.0,False,,./dataTest/HIPAcc-0003-classification.csv,best
,mse,HIPAcc,,,10,1e-07,2,2,0.0,False,,./dataTest/HIPAcc-0004-regression.csv,best
,entropy,HIPAcc,,,20,1e-07,1,2,0.0,False,,./dataTest/HIPAcc-0005-classification.csv,best
,mse,HIPAcc,,,20,1e-07,1,2,0.0,False,,./dataTest/HIPAcc-0006-regression.csv,best
,entropy,HIPAcc,,,20,1e-07,2,2,0.0,False,,./dataTest/HIPAcc-0007-classification.csv,best
,mse,HIPAcc,,,20,1e-07,2,2,0.0,False,,./dataTest/HIPAcc-0008-regression.csv,best
,entropy,HIPAcc,10.0,,10,1e-07,1,2,0.0,False,,./dataTest/HIPAcc-0009-classification.csv,best
,mse,HIPAcc,10.0,,10,1e-07,1,2,0.0,False,,./dataTest/HIPAcc-0010-regression.csv,best
,entropy,HIPAcc,10.0,,10,1e-07,2,2,0.0,False,,./dataTest/HIPAcc-0011-classification.csv,best
,mse,HIPAcc,10.0,,10,1e-07,2,2,0.0,False,,./dataTest/HIPAcc-0012-regression.csv,best
,entropy,HIPAcc,10.0,,20,1e-07,1,2,0.0,False,,./dataTest/HIPAcc-0013-classification.csv,best
,mse,HIPAcc,10.0,,20,1e-07,1,2,0.0,False,,./dataTest/HIPAcc-0014-regression.csv,best
,entropy,HIPAcc,10.0,,20,1e-07,2,2,0.0,False,,./dataTest/HIPAcc-0015-classification.csv,best
,mse,HIPAcc,10.0,,20,1e-07,2,2,0.0,False,,./dataTest/HIPAcc-0016-regression.csv,best
,entropy,HIPAcc,20.0,,10,1e-07,1,2,0.0,False,,./dataTest/HIPAcc-0017-classification.csv,best
,mse,HIPAcc,20.0,,10,1e-07,1,2,0.0,False,,./dataTest/HIPAcc-0018-regression.csv,best
,entropy,HIPAcc,20.0,,10,1e-07,2,2,0.0,False,,./dataTest/HIPAcc-0019-classification.csv,best
,mse,HIPAcc,20.0,,10,1e-07,2,2,0.0,False,,./dataTest/HIPAcc-0020-regression.csv,best
,entropy,HIPAcc,20.0,,20,1e-07,1,2,0.0,False,,./dataTest/HIPAcc-0021-classification.csv,best
,mse,HIPAcc,20.0,,20,1e-07,1,2,0.0,False,,./dataTest/HIPAcc-0022-regression.csv,best
,entropy,HIPAcc,20.0,,20,1e-07,2,2,0.0,False,,./dataTest/HIPAcc-0023-classification.csv,best
,mse,HIPAcc,20.0,,20,1e-07,2,2,0.0,False,,./dataTest/HIPAcc-0024-regression.csv,best
